A,0.00,0.004
A,-0.58,0.008
A,0.66,0.013
A,-2.44,0.017
A,0.28,0.021
A,2.25,0.025
A,4.99,0.029
A,2.62,0.033
A,0.68,0.037
A,0.18,0.042
A,0.78,0.046
A,1.09,0.050
A,-0.49,0.054
A,-0.42,0.058
A,1.55,0.062
A,-0.97,0.067
A,-0.91,0.071
A,-1.56,0.075
A,-0.90,0.079
A,1.12,0.083
A,0.04,0.087
A,-0.25,0.092
A,-4.38,0.096
A,-1.13,0.100
A,1.94,0.104
A,1.49,0.108
A,-0.44,0.113
A,1.11,0.117
A,0.26,0.121
A,-0.04,0.125
A,-0.62,0.129
A,1.10,0.133
A,0.11,0.138
A,-1.48,0.142
A,0.70,0.146
A,-3.39,0.150
A,1.55,0.154
A,-0.04,0.158
A,-2.49,0.163
A,-1.87,0.167
A,0.08,0.171
A,-1.59,0.175
A,3.20,0.179
A,0.15,0.183
A,3.02,0.188
A,0.15,0.192
A,1.70,0.196
A,-0.11,0.200
A,4.30,0.204
A,2.66,0.208
A,0.89,0.212
A,-0.57,0.217
A,-1.12,0.221
A,-0.76,0.225
A,1.28,0.229
A,-0.14,0.233
A,1.03,0.237
A,-2.34,0.242
A,0.24,0.246
A,1.80,0.250
A,0.17,0.254
A,0.71,0.258
A,0.54,0.263
A,0.07,0.267
A,-0.97,0.271
A,-1.15,0.275
A,1.50,0.279
A,-0.17,0.283
A,1.11,0.287
A,-0.23,0.292
A,-0.43,0.296
A,-1.11,0.300
A,-0.14,0.304
A,1.73,0.308
A,0.90,0.312
A,0.40,0.317
A,0.10,0.321
A,0.23,0.325
A,-0.23,0.329
A,2.54,0.333
A,-0.10,0.338
A,0.74,0.342
A,-1.09,0.346
A,-0.36,0.350
A,-0.13,0.354
A,-0.03,0.358
A,0.06,0.362
A,-1.20,0.367
A,0.79,0.371
A,1.50,0.375
A,-2.31,0.379
A,1.22,0.383
A,-0.55,0.388
A,-0.36,0.392
A,-4.42,0.396
A,0.96,0.400
A,-0.54,0.404
A,-0.41,0.408
A,-1.65,0.412
A,-2.30,0.417
A,3.92,0.421
A,1.27,0.425
A,0.14,0.429
A,-1.59,0.433
A,0.34,0.438
A,0.10,0.442
A,0.72,0.446
A,-0.54,0.450
A,0.38,0.454
A,2.11,0.458
A,0.90,0.463
A,1.26,0.467
A,1.14,0.471
A,0.71,0.475
A,-0.16,0.479
A,-0.96,0.483
A,1.23,0.487
A,-0.45,0.492
A,1.19,0.496
A,2.00,0.500
A,0.84,0.504
A,0.25,0.508
A,-0.55,0.512
A,2.79,0.517
A,-0.48,0.521
A,0.82,0.525
A,1.17,0.529
A,-0.24,0.533
A,-0.48,0.537
A,-0.33,0.542
A,0.33,0.546
A,-0.12,0.550
A,0.24,0.554
A,-0.12,0.558
A,0.90,0.562
A,1.16,0.567
A,-0.62,0.571
A,1.92,0.575
A,-0.69,0.579
A,0.26,0.583
A,0.64,0.588
A,-0.66,0.592
A,0.47,0.596
A,0.78,0.600
A,-0.75,0.604
A,-0.78,0.608
A,-0.87,0.613
A,0.71,0.617
A,-0.06,0.621
A,-0.91,0.625
A,1.50,0.629
A,3.55,0.633
A,-1.01,0.637
A,-0.31,0.642
A,3.21,0.646
A,-0.44,0.650
A,0.86,0.654
A,0.55,0.658
A,0.49,0.662
A,-1.63,0.667
A,1.16,0.671
A,1.61,0.675
A,-2.61,0.679
A,1.41,0.683
A,-3.83,0.688
A,-1.70,0.692
A,-4.26,0.696
A,-4.24,0.700
A,7.28,0.704
A,-0.35,0.708
A,2.17,0.713
A,-0.09,0.717
A,-2.65,0.721
A,0.97,0.725
A,-6.20,0.729
A,1.62,0.733
A,-4.76,0.738
A,0.97,0.742
A,0.19,0.746
A,-0.51,0.750
A,0.80,0.754
A,4.00,0.758
A,-1.19,0.762
A,-2.72,0.767
A,2.35,0.771
A,0.56,0.775
A,-6.37,0.779
A,-0.77,0.783
A,-0.86,0.787
A,-1.07,0.792
A,3.15,0.796
A,0.92,0.800
A,2.38,0.804
A,2.35,0.808
A,1.34,0.812
A,-0.49,0.817
A,0.43,0.821
A,-0.55,0.825
A,-1.26,0.829
A,-0.16,0.833
A,-3.78,0.838
A,-0.23,0.842
A,-0.36,0.846
A,-4.48,0.850
A,-2.67,0.854
A,-0.53,0.858
A,-1.73,0.863
A,-0.14,0.867
A,2.95,0.871
A,0.84,0.875
A,-0.56,0.879
A,-1.57,0.883
A,1.95,0.887
A,-0.21,0.892
A,-1.01,0.896
A,-4.82,0.900
A,1.89,0.904
A,-0.07,0.908
A,0.22,0.912
A,4.13,0.917
A,2.02,0.921
A,1.16,0.925
A,-2.60,0.929
A,-0.31,0.933
A,-2.19,0.938
A,-0.78,0.942
A,3.19,0.946
A,-3.40,0.950
A,1.62,0.954
A,0.60,0.958
A,0.95,0.963
A,3.79,0.967
A,-1.21,0.971
A,-4.21,0.975
A,-2.45,0.979
A,-0.65,0.983
A,-0.69,0.988
A,7.81,0.992
A,-2.53,0.996
A,0.07,1.000
AA,0.00,0.004
AA,-1.11,0.008
AA,-0.56,0.013
AA,-0.73,0.017
AA,1.14,0.021
AA,0.81,0.025
AA,2.48,0.029
AA,0.23,0.033
AA,1.17,0.037
AA,-0.38,0.042
AA,8.11,0.046
AA,3.43,0.050
AA,-2.90,0.054
AA,0.07,0.058
AA,-0.85,0.062
AA,2.30,0.067
AA,-0.84,0.071
AA,-4.46,0.075
AA,-3.18,0.079
AA,2.68,0.083
AA,-0.89,0.087
AA,-1.43,0.092
AA,-1.52,0.096
AA,-0.77,0.100
AA,4.68,0.104
AA,3.50,0.108
AA,2.23,0.113
AA,1.06,0.117
AA,-0.77,0.121
AA,0.07,0.125
AA,-0.98,0.129
AA,1.49,0.133
AA,0.28,0.138
AA,-2.23,0.142
AA,0.21,0.146
AA,-1.99,0.150
AA,0.22,0.154
AA,1.59,0.158
AA,-2.21,0.163
AA,-3.28,0.167
AA,-3.54,0.171
AA,-6.87,0.175
AA,8.05,0.179
AA,0.00,0.183
AA,3.49,0.188
AA,0.97,0.192
AA,-0.30,0.196
AA,-1.71,0.200
AA,-0.15,0.204
AA,3.26,0.208
AA,1.10,0.212
AA,0.00,0.217
AA,-3.92,0.221
AA,-0.68,0.225
AA,-0.53,0.229
AA,-1.07,0.233
AA,0.62,0.237
AA,-2.62,0.242
AA,-1.11,0.246
AA,2.24,0.250
AA,6.56,0.254
AA,-2.71,0.258
AA,-2.11,0.263
AA,0.46,0.267
AA,-1.38,0.271
AA,1.63,0.275
AA,3.21,0.279
AA,8.22,0.283
AA,1.44,0.287
AA,-0.94,0.292
AA,1.50,0.296
AA,-2.68,0.300
AA,0.55,0.304
AA,7.89,0.308
AA,0.38,0.312
AA,1.33,0.317
AA,2.12,0.321
AA,-1.47,0.325
AA,-0.43,0.329
AA,1.68,0.333
AA,-1.10,0.338
AA,3.29,0.342
AA,-3.12,0.346
AA,5.21,0.350
AA,-2.12,0.354
AA,2.47,0.358
AA,2.53,0.362
AA,-11.06,0.367
AA,2.96,0.371
AA,-1.06,0.375
AA,-1.14,0.379
AA,-0.06,0.383
AA,-2.50,0.388
AA,-6.43,0.392
AA,-5.96,0.396
AA,-0.07,0.400
AA,1.12,0.404
AA,-1.77,0.408
AA,-2.86,0.412
AA,-1.47,0.417
AA,4.95,0.421
AA,2.32,0.425
AA,-1.32,0.429
AA,-4.30,0.433
AA,2.09,0.438
AA,-0.91,0.442
AA,1.68,0.446
AA,-0.90,0.450
AA,3.19,0.454
AA,-2.21,0.458
AA,3.46,0.463
AA,-1.02,0.467
AA,0.07,0.471
AA,-0.59,0.475
AA,0.07,0.479
AA,-2.66,0.483
AA,-0.91,0.487
AA,1.91,0.492
AA,-0.08,0.496
AA,0.08,0.500
AA,-0.53,0.504
AA,0.76,0.508
AA,0.67,0.512
AA,3.05,0.517
AA,-0.43,0.521
AA,-0.80,0.525
AA,-0.73,0.529
AA,0.52,0.533
AA,-0.29,0.537
AA,-0.66,0.542
AA,2.15,0.546
AA,4.78,0.550
AA,-1.11,0.554
AA,-0.28,0.558
AA,0.56,0.562
AA,1.12,0.567
AA,-1.24,0.571
AA,-1.47,0.575
AA,1.13,0.579
AA,1.19,0.583
AA,-0.28,0.588
AA,-1.11,0.592
AA,3.23,0.596
AA,0.20,0.600
AA,2.04,0.604
AA,-1.93,0.608
AA,0.88,0.613
AA,-3.23,0.617
AA,1.25,0.621
AA,-1.58,0.625
AA,0.63,0.629
AA,-0.83,0.633
AA,-2.80,0.637
AA,-1.37,0.642
AA,0.22,0.646
AA,-0.29,0.650
AA,1.02,0.654
AA,1.88,0.658
AA,-0.43,0.662
AA,-4.34,0.667
AA,0.97,0.671
AA,1.11,0.675
AA,-2.11,0.679
AA,-2.08,0.683
AA,-4.33,0.688
AA,-0.95,0.692
AA,-4.17,0.696
AA,0.50,0.700
AA,4.92,0.704
AA,-3.65,0.708
AA,2.72,0.713
AA,2.73,0.717
AA,-3.44,0.721
AA,-2.10,0.725
AA,-2.31,0.729
AA,-0.34,0.733
AA,-6.03,0.738
AA,2.53,0.742
AA,-2.29,0.746
AA,1.89,0.750
AA,-0.44,0.754
AA,5.07,0.758
AA,-1.52,0.762
AA,-3.87,0.767
AA,2.59,0.771
AA,-0.96,0.775
AA,-4.66,0.779
AA,-3.04,0.783
AA,2.38,0.787
AA,0.37,0.792
AA,4.17,0.796
AA,0.98,0.800
AA,-0.18,0.804
AA,2.20,0.808
AA,-1.55,0.812
AA,-2.02,0.817
AA,-0.63,0.821
AA,5.49,0.825
AA,-3.67,0.829
